municipio,variavel,slope,intercept,r2,p_value,std_err,n,delta_y_por_1000ha
Poconé,valor_industria,102.61388979332358,-75205.13800318219,0.808357777938616,6.942295300106397e-05,15.79973995169886,12,102613.88979332359
Porto Esperidião,valor_industria,477.6611334834841,-237147.7605733725,0.4624988214844412,0.014954464216853747,162.8374527261288,12,477661.1334834841
Porto Murtinho,valor_industria,-20.790247611865805,86816.37732986826,0.21363162743942254,0.1303217251892416,12.613624737590976,12,-20790.247611865805
Rio Verde de Mato Grosso,valor_industria,44.91082812859875,-90123.94480034878,0.7377811775338187,0.0003453891728616026,8.466798205094701,12,44910.828128598754
Santo Antônio do Leverger,valor_industria,80.87061446940356,-138699.56632728118,0.8093959880297049,6.752766839274803e-05,12.410127349943046,12,80870.61446940356
Sonora,valor_industria,1440.5782754226675,-617250.0124410368,0.8448240247614474,2.3735168692011527e-05,195.23873048442326,12,1440578.2754226676
Aquidauana,valor_administracao_publica,217.15618774543293,-386563.97955947206,0.9658083130842879,1.1667673216561826e-08,12.920728572778499,12,217156.18774543292
Barão de Melgaço,valor_administracao_publica,98.54735955130883,-69068.26736364081,0.9639845003998627,1.5141512476868307e-08,6.023580083731036,12,98547.35955130884
Corumbá,valor_administracao_publica,218.07086607010334,-633762.1153907633,0.9645196806523071,1.4046227214318889e-08,13.226223632879666,12,218070.86607010334
Coxim,valor_administracao_publica,1546.2165063606647,-1417752.6696459102,0.9866374571417625,1.0543342756091944e-10,56.903117608191906,12,1546216.5063606647
Cáceres,valor_administracao_publica,1029.8376811237708,-3023486.665001223,0.9930847925927317,3.9028491024563604e-12,27.175542202095478,12,1029837.6811237709
Itiquira,valor_administracao_publica,506.76109583483515,-69602.88650853826,0.9509563018205657,7.129945907136e-08,36.39272634244778,12,506761.09583483514
Ladário,valor_administracao_publica,22116.7454068242,-2533577.3438320286,0.9608444964726323,2.302891700853042e-08,1411.858171641462,12,22116745.4068242
Miranda,valor_administracao_publica,4619.138942336815,-829066.830206437,0.9470906962282454,1.0436680470932461e-07,345.24807367490877,12,4619138.9423368145
Nossa Senhora do Livramento,valor_administracao_publica,436.0953898602361,-57100.77465894232,0.9720072018619373,4.280162649589535e-09,23.40291258343474,12,436095.3898602361
Poconé,valor_administracao_publica,406.28163914364933,-293313.76393630233,0.9784320325627727,1.1590084102723412e-09,19.075084666518364,12,406281.6391436493
Porto Esperidião,valor_administracao_publica,871.5891315969002,-408305.56296073296,0.968917397151108,7.2341826301992e-09,49.36590678994775,12,871589.1315969002
Porto Murtinho,valor_administracao_publica,238.16833673023223,-735021.5104188756,0.9481708540436811,9.409523315867334e-08,17.608718444978788,12,238168.33673023223
Rio Verde de Mato Grosso,valor_administracao_publica,188.57977689409046,-381388.7105507863,0.983328995859085,3.1911570066300005e-10,7.764733856864308,12,188579.77689409046
Santo Antônio do Leverger,valor_administracao_publica,156.8127788062747,-236388.0277872503,0.9560616760049495,4.1060555408326096e-08,10.630660271286345,12,156812.7788062747
Sonora,valor_administracao_publica,1208.185305381598,-501179.35102867003,0.9245795043744014,6.203884985359307e-07,109.12044020873104,12,1208185.305381598
